TASKID,Description
19,the different font size for monospace characters (the read window and beyond the edit window)
21,Mixed chinese and western characters give bad line spacing
26,Tiled background on clipped layer appears incorrectely since Mozilla 1.4
33,"""onresize"" inline HTML event doesn't function on FRAME"
34,Disk cache size set in preferences is ignored
36,Keypress not recognised as user event for popup blocker
38,30% of time in raytracing testcase taken by canvas code
45,refresh reloads *everything* even items which have an expiry date in the future
49,"When opening a page with username/password in URL, get password prompt for every image on the page"
52,Canvas disappears after hiding if size style not set.
70,cookies arn't remebering auto login
73,Textarea submitting incorrect string under wrap=hard
87,"Proxy authentication is required on Squid + NTLM on Linux/Mac, but not on Windows"
90,Request an Option to Make the Default Response to the 'Unresponsive Script' Dialog 'Continue' Instead of 'Stop Script'
95,Cookie path problem when using domain suffix to connect
100,Viewing Blank Page Resets Encoding to UTF-8 Despite Default Settings in Prefs
107,Cookie expiration not obeyed for sites accessed by IPv6 address
108,provide more insight if smart-card login fails
109,in-progress uncacheable object is cached anyway and blocks other threads
111,Unresponsive script isn't triggered for document.write loop
113,"Firefox can't resolve that page, even when networking.enableIDN is set to false"
119,"<canvas> canvas animation is jerky on Firefox 3 beta 1, Linux x86_64"
142,XMLHttprequest loses authentication credentials on calls to different urls
145,"Firefox with a ""201 created"" response should perform a redirect to the Location field"
147,Inconsistent path matching for cookie path prefixes
150,Firefox sends Copy command (Cmd-C) to a plugin on Key Up
165,Flash plugin error: Flash website does not open if it has national domain
167,[Mac] Ctrl+y will not paste/yank text killed by ctrl+k (cocoa emacs keybinding)
169,DNS suffixes not parsed when Firefox used on company LAN
177,Acid 2 broken with Pineocast SwirlX3D X3D/VRML plugin
180,proxy connection to NXDOMAIN using https gives Data Transfer Interrupted
186,Fails to get baseURI in plugin's ->newp
187,Certificate backups use RC2/40 encryption
201,"When reloading after a 303 redirect, Firefox makes another POST request"
208,network.http.phishy-userpass-length feature claims password-protected site does not require password
228,"Deleting a server certificate exception should confirm the server name, not the certificate name"
231,Incorrect cookie path for sites when using redirect (html) to come to it
234,redirect to location w/ utf-8 characters breaks URL/correct loading of the page
235,Prompt for SSL client certificates appears at erratic times
242,"port 443 without url scheme should default to https, not http"
252,DNS resolution fails when using a socksified Firefox
254,Ctrl-Shift-Right arrow selection at the end of a line scrolls all the way to the left
