ID,talent
1,"['Perl', 'Solving', 'Operating']"
2,"['Perl', 'Operating', 'Enhancement']"
3,"['Toolkits', 'Node.js', 'Systems']"
4,"['Skills', 'and', 'Services']"
5,"['Strategic', 'Node.js', 'SaaS']"
6,"['Shell', 'Planning', 'Scrum']"
7,"['Reasoning', 'Stress', 'Source']"
8,"['Microsoft', 'Team', 'Problem']"
9,"['Enhancement', 'Optimization', 'Product']"
10,"['Deductive', 'C++', 'Planning']"
11,"['Database', 'Services', 'C++']"
12,"['Management', 'Database', 'Planning']"
13,"['Toolkits', 'Python', 'Optimization']"
14,"['C#', 'Systems', 'C++']"
15,"['Tolerance', 'Systems', 'Python']"
16,"['Solving', 'Operating', 'JavaScript']"
17,"['Optimization', 'Java', 'Computer']"
18,"['CSS', 'Problem', 'Toolkits']"
19,"['Code', 'Agile', 'Stress']"
20,"['Frameworks', 'Enhancement', 'Reasoning']"
21,"['Node.js', 'CSS', 'Enhancement']"
22,"['MVC', 'Python', 'Frameworks']"
23,"['SQL', 'CSS', 'Agile']"
24,"['and', 'Team', 'Product']"
25,"['Analysis', 'Product', 'C++']"
26,"['Project', 'Product', 'Project']"
27,"['Linux/Unix', 'Ruby', 'Perl']"
28,"['ASP.NET', 'Version', 'Team']"
29,"['Deductive', 'SaaS', 'Structures']"
30,"['Systems', 'MVC', 'Reasoning']"
31,"['Process', 'ASP.NET', 'SaaS']"
32,"['Operating', 'SQL', 'Code']"
33,"['Systems', 'Web', 'SaaS']"
34,"['Design', 'Services', 'Management']"
35,"['Problem', 'C++', 'JavaScript']"
36,"['Problem', 'Stress', 'HTML']"
37,"['Enhancement', 'Design', 'Services']"
38,"['Architecture', 'JavaScript', 'Analysis']"
39,"['Strategic', 'and', 'Scrum']"
40,"['Code', 'Repository', 'Node.js']"
41,"['Team', 'Process', 'C']"
42,"['Planning', 'Node.js', 'Strategic']"
43,"['Management', 'MVC', 'Data']"
44,"['Shell', 'Microsoft', 'Analysis']"
45,"['SQL', 'Frameworks', 'UI']"
46,"['Repository', 'Microsoft', 'Management']"
47,"['Operating', 'Perl', 'Ruby']"
48,"['Process', 'Code', 'UI']"
49,"['Inductive', 'Node.js', 'Enhancement']"
50,"['Inductive', 'Inductive', 'Systems']"
51,"['Web', 'C#', 'Ruby']"
52,"['Deductive', 'Java', 'Optimization']"
53,"['ASP.NET', 'Management', 'CSS']"
